timestamp,price_eur_mwh,hour,month,weekday,season
2022-12-31 23:00:00+00:00,0.03,23,12,5,0
2023-01-01 00:00:00+00:00,-7.25,0,1,6,0
2023-01-01 01:00:00+00:00,-3.99,1,1,6,0
2023-01-01 02:00:00+00:00,-7.71,2,1,6,0
2023-01-01 03:00:00+00:00,-9.71,3,1,6,0
2023-01-01 04:00:00+00:00,-15.15,4,1,6,0
2023-01-01 05:00:00+00:00,-14.33,5,1,6,0
2023-01-01 06:00:00+00:00,-0.66,6,1,6,0
2023-01-01 07:00:00+00:00,0.02,7,1,6,0
2023-01-01 08:00:00+00:00,-1.23,8,1,6,0
2023-01-01 09:00:00+00:00,-6.11,9,1,6,0
2023-01-01 10:00:00+00:00,0.28,10,1,6,0
2023-01-01 11:00:00+00:00,2.96,11,1,6,0
2023-01-01 12:00:00+00:00,-0.79,12,1,6,0
2023-01-01 13:00:00+00:00,3.06,13,1,6,0
2023-01-01 14:00:00+00:00,9.53,14,1,6,0
2023-01-01 15:00:00+00:00,19.95,15,1,6,0
2023-01-01 16:00:00+00:00,30.46,16,1,6,0
2023-01-01 17:00:00+00:00,34.39,17,1,6,0
2023-01-01 18:00:00+00:00,35.15,18,1,6,0
2023-01-01 19:00:00+00:00,29.57,19,1,6,0
2023-01-01 20:00:00+00:00,24.92,20,1,6,0
2023-01-01 21:00:00+00:00,20.72,21,1,6,0
2023-01-01 22:00:00+00:00,13.46,22,1,6,0
2023-01-01 23:00:00+00:00,40.37,23,1,6,0
2023-01-02 00:00:00+00:00,29.23,0,1,0,0
2023-01-02 01:00:00+00:00,22.28,1,1,0,0
2023-01-02 02:00:00+00:00,14.17,2,1,0,0
2023-01-02 03:00:00+00:00,24.94,3,1,0,0
2023-01-02 04:00:00+00:00,48.84,4,1,0,0
2023-01-02 05:00:00+00:00,74.52,5,1,0,0
2023-01-02 06:00:00+00:00,112.32,6,1,0,0
2023-01-02 07:00:00+00:00,123.03,7,1,0,0
2023-01-02 08:00:00+00:00,125.92,8,1,0,0
2023-01-02 09:00:00+00:00,127.31,9,1,0,0
2023-01-02 10:00:00+00:00,125.47,10,1,0,0
2023-01-02 11:00:00+00:00,129.43,11,1,0,0
2023-01-02 12:00:00+00:00,120.34,12,1,0,0
2023-01-02 13:00:00+00:00,132.27,13,1,0,0
2023-01-02 14:00:00+00:00,136.2,14,1,0,0
2023-01-02 15:00:00+00:00,145.91,15,1,0,0
2023-01-02 16:00:00+00:00,153.85,16,1,0,0
2023-01-02 17:00:00+00:00,161.43,17,1,0,0
2023-01-02 18:00:00+00:00,154.75,18,1,0,0
2023-01-02 19:00:00+00:00,148.62,19,1,0,0
2023-01-02 20:00:00+00:00,134.97,20,1,0,0
2023-01-02 21:00:00+00:00,121.01,21,1,0,0
2023-01-02 22:00:00+00:00,112.1,22,1,0,0
2023-01-02 23:00:00+00:00,119.17,23,1,0,0
2023-01-03 00:00:00+00:00,113.38,0,1,1,0
2023-01-03 01:00:00+00:00,108.94,1,1,1,0
2023-01-03 02:00:00+00:00,101.05,2,1,1,0
2023-01-03 03:00:00+00:00,105.86,3,1,1,0
2023-01-03 04:00:00+00:00,119.07,4,1,1,0
2023-01-03 05:00:00+00:00,156.05,5,1,1,0
2023-01-03 06:00:00+00:00,183.96,6,1,1,0
2023-01-03 07:00:00+00:00,185.2,7,1,1,0
2023-01-03 08:00:00+00:00,186.56,8,1,1,0
2023-01-03 09:00:00+00:00,184.08,9,1,1,0
2023-01-03 10:00:00+00:00,179.02,10,1,1,0
2023-01-03 11:00:00+00:00,171.42,11,1,1,0
2023-01-03 12:00:00+00:00,167.95,12,1,1,0
2023-01-03 13:00:00+00:00,170.04,13,1,1,0
2023-01-03 14:00:00+00:00,171.8,14,1,1,0
2023-01-03 15:00:00+00:00,172.47,15,1,1,0
2023-01-03 16:00:00+00:00,186.24,16,1,1,0
2023-01-03 17:00:00+00:00,180.86,17,1,1,0
2023-01-03 18:00:00+00:00,171.49,18,1,1,0
2023-01-03 19:00:00+00:00,158.72,19,1,1,0
2023-01-03 20:00:00+00:00,147.74,20,1,1,0
2023-01-03 21:00:00+00:00,141.58,21,1,1,0
2023-01-03 22:00:00+00:00,113.49,22,1,1,0
2023-01-03 23:00:00+00:00,121.55,23,1,1,0
2023-01-04 00:00:00+00:00,104.19,0,1,2,0
2023-01-04 01:00:00+00:00,88.65,1,1,2,0
2023-01-04 02:00:00+00:00,84.82,2,1,2,0
2023-01-04 03:00:00+00:00,83.95,3,1,2,0
2023-01-04 04:00:00+00:00,111.52,4,1,2,0
2023-01-04 05:00:00+00:00,128.92,5,1,2,0
2023-01-04 06:00:00+00:00,147.38,6,1,2,0
2023-01-04 07:00:00+00:00,154.3,7,1,2,0
2023-01-04 08:00:00+00:00,158.76,8,1,2,0
2023-01-04 09:00:00+00:00,153.82,9,1,2,0
2023-01-04 10:00:00+00:00,151.4,10,1,2,0
2023-01-04 11:00:00+00:00,155.46,11,1,2,0
2023-01-04 12:00:00+00:00,153.47,12,1,2,0
2023-01-04 13:00:00+00:00,156.53,13,1,2,0
2023-01-04 14:00:00+00:00,152.6,14,1,2,0
2023-01-04 15:00:00+00:00,154.18,15,1,2,0
2023-01-04 16:00:00+00:00,152.6,16,1,2,0
2023-01-04 17:00:00+00:00,157.59,17,1,2,0
2023-01-04 18:00:00+00:00,155.0,18,1,2,0
2023-01-04 19:00:00+00:00,149.07,19,1,2,0
2023-01-04 20:00:00+00:00,148.57,20,1,2,0
2023-01-04 21:00:00+00:00,144.52,21,1,2,0
2023-01-04 22:00:00+00:00,124.96,22,1,2,0
2023-01-04 23:00:00+00:00,110.55,23,1,2,0
2023-01-05 00:00:00+00:00,111.24,0,1,3,0
2023-01-05 01:00:00+00:00,110.04,1,1,3,0
2023-01-05 02:00:00+00:00,109.41,2,1,3,0
2023-01-05 03:00:00+00:00,108.78,3,1,3,0
2023-01-05 04:00:00+00:00,112.11,4,1,3,0
2023-01-05 05:00:00+00:00,121.98,5,1,3,0
2023-01-05 06:00:00+00:00,129.95,6,1,3,0
2023-01-05 07:00:00+00:00,142.56,7,1,3,0
2023-01-05 08:00:00+00:00,146.72,8,1,3,0
2023-01-05 09:00:00+00:00,143.07,9,1,3,0
2023-01-05 10:00:00+00:00,145.88,10,1,3,0
2023-01-05 11:00:00+00:00,146.54,11,1,3,0
2023-01-05 12:00:00+00:00,146.57,12,1,3,0
2023-01-05 13:00:00+00:00,154.18,13,1,3,0
2023-01-05 14:00:00+00:00,156.39,14,1,3,0
2023-01-05 15:00:00+00:00,159.96,15,1,3,0
2023-01-05 16:00:00+00:00,177.53,16,1,3,0
2023-01-05 17:00:00+00:00,180.1,17,1,3,0
2023-01-05 18:00:00+00:00,174.24,18,1,3,0
2023-01-05 19:00:00+00:00,166.48,19,1,3,0
2023-01-05 20:00:00+00:00,153.62,20,1,3,0
2023-01-05 21:00:00+00:00,143.3,21,1,3,0
2023-01-05 22:00:00+00:00,125.23,22,1,3,0
2023-01-05 23:00:00+00:00,110.86,23,1,3,0
2023-01-06 00:00:00+00:00,105.48,0,1,4,0
2023-01-06 01:00:00+00:00,103.74,1,1,4,0
2023-01-06 02:00:00+00:00,102.78,2,1,4,0
2023-01-06 03:00:00+00:00,102.25,3,1,4,0
2023-01-06 04:00:00+00:00,106.81,4,1,4,0
2023-01-06 05:00:00+00:00,115.53,5,1,4,0
2023-01-06 06:00:00+00:00,141.33,6,1,4,0
2023-01-06 07:00:00+00:00,141.17,7,1,4,0
2023-01-06 08:00:00+00:00,141.65,8,1,4,0
2023-01-06 09:00:00+00:00,140.49,9,1,4,0
2023-01-06 10:00:00+00:00,142.56,10,1,4,0
2023-01-06 11:00:00+00:00,135.31,11,1,4,0
2023-01-06 12:00:00+00:00,119.88,12,1,4,0
2023-01-06 13:00:00+00:00,126.22,13,1,4,0
2023-01-06 14:00:00+00:00,137.55,14,1,4,0
2023-01-06 15:00:00+00:00,147.99,15,1,4,0
2023-01-06 16:00:00+00:00,154.93,16,1,4,0
2023-01-06 17:00:00+00:00,163.22,17,1,4,0
2023-01-06 18:00:00+00:00,159.89,18,1,4,0
2023-01-06 19:00:00+00:00,150.62,19,1,4,0
2023-01-06 20:00:00+00:00,140.75,20,1,4,0
2023-01-06 21:00:00+00:00,139.19,21,1,4,0
2023-01-06 22:00:00+00:00,126.7,22,1,4,0
2023-01-06 23:00:00+00:00,142.68,23,1,4,0
2023-01-07 00:00:00+00:00,126.98,0,1,5,0
2023-01-07 01:00:00+00:00,121.05,1,1,5,0
2023-01-07 02:00:00+00:00,119.9,2,1,5,0
2023-01-07 03:00:00+00:00,114.69,3,1,5,0
2023-01-07 04:00:00+00:00,128.23,4,1,5,0
2023-01-07 05:00:00+00:00,132.99,5,1,5,0
2023-01-07 06:00:00+00:00,150.11,6,1,5,0
2023-01-07 07:00:00+00:00,152.26,7,1,5,0
2023-01-07 08:00:00+00:00,140.89,8,1,5,0
2023-01-07 09:00:00+00:00,151.29,9,1,5,0
2023-01-07 10:00:00+00:00,151.09,10,1,5,0
2023-01-07 11:00:00+00:00,157.01,11,1,5,0
2023-01-07 12:00:00+00:00,155.08,12,1,5,0
2023-01-07 13:00:00+00:00,159.93,13,1,5,0
2023-01-07 14:00:00+00:00,155.08,14,1,5,0
2023-01-07 15:00:00+00:00,160.0,15,1,5,0
2023-01-07 16:00:00+00:00,163.18,16,1,5,0
2023-01-07 17:00:00+00:00,164.42,17,1,5,0
2023-01-07 18:00:00+00:00,164.23,18,1,5,0
2023-01-07 19:00:00+00:00,159.13,19,1,5,0
2023-01-07 20:00:00+00:00,154.29,20,1,5,0
2023-01-07 21:00:00+00:00,156.36,21,1,5,0
2023-01-07 22:00:00+00:00,151.06,22,1,5,0
2023-01-07 23:00:00+00:00,141.59,23,1,5,0
2023-01-08 00:00:00+00:00,127.4,0,1,6,0
2023-01-08 01:00:00+00:00,113.94,1,1,6,0
2023-01-08 02:00:00+00:00,114.05,2,1,6,0
2023-01-08 03:00:00+00:00,110.0,3,1,6,0
2023-01-08 04:00:00+00:00,113.74,4,1,6,0
2023-01-08 05:00:00+00:00,118.62,5,1,6,0
2023-01-08 06:00:00+00:00,125.45,6,1,6,0
2023-01-08 07:00:00+00:00,125.49,7,1,6,0
2023-01-08 08:00:00+00:00,143.95,8,1,6,0
2023-01-08 09:00:00+00:00,142.5,9,1,6,0
2023-01-08 10:00:00+00:00,141.96,10,1,6,0
2023-01-08 11:00:00+00:00,141.14,11,1,6,0
2023-01-08 12:00:00+00:00,127.44,12,1,6,0
