timestamp,load_gw
2023-01-01T00:00:00Z,7.6801
2023-01-01T01:00:00Z,6.9418
2023-01-01T02:00:00Z,6.6467
2023-01-01T03:00:00Z,5.8078
2023-01-01T04:00:00Z,5.9875
2023-01-01T05:00:00Z,5.5598
2023-01-01T06:00:00Z,7.7297
2023-01-01T07:00:00Z,7.8211
2023-01-01T08:00:00Z,8.8121
2023-01-01T09:00:00Z,8.9248
2023-01-01T10:00:00Z,9.1623
2023-01-01T11:00:00Z,7.5061
2023-01-01T12:00:00Z,7.505
2023-01-01T13:00:00Z,7.2115
2023-01-01T14:00:00Z,7.5829
2023-01-01T15:00:00Z,6.9642
2023-01-01T16:00:00Z,7.5124
2023-01-01T17:00:00Z,7.9252
2023-01-01T18:00:00Z,9.0139
2023-01-01T19:00:00Z,9.5748
2023-01-01T20:00:00Z,8.671
2023-01-01T21:00:00Z,8.5319
2023-01-01T22:00:00Z,7.8341
2023-01-01T23:00:00Z,7.4404
2023-01-02T00:00:00Z,8.263
2023-01-02T01:00:00Z,7.7202
2023-01-02T02:00:00Z,7.5682
2023-01-02T03:00:00Z,6.6489
2023-01-02T04:00:00Z,6.4475
2023-01-02T05:00:00Z,7.2094
2023-01-02T06:00:00Z,7.7987
2023-01-02T07:00:00Z,8.7304
2023-01-02T08:00:00Z,9.3103
2023-01-02T09:00:00Z,9.5461
2023-01-02T10:00:00Z,9.3223
2023-01-02T11:00:00Z,8.9204
2023-01-02T12:00:00Z,8.0666
2023-01-02T13:00:00Z,8.197
2023-01-02T14:00:00Z,8.5407
2023-01-02T15:00:00Z,8.3168
2023-01-02T16:00:00Z,8.3066
2023-01-02T17:00:00Z,8.7223
2023-01-02T18:00:00Z,9.5771
2023-01-02T19:00:00Z,10.7077
2023-01-02T20:00:00Z,9.8164
2023-01-02T21:00:00Z,8.7974
2023-01-02T22:00:00Z,8.4209
2023-01-02T23:00:00Z,8.7198
2023-01-03T00:00:00Z,8.0288
2023-01-03T01:00:00Z,8.1105
2023-01-03T02:00:00Z,7.6952
2023-01-03T03:00:00Z,6.824
2023-01-03T04:00:00Z,6.1852
2023-01-03T05:00:00Z,6.9455
2023-01-03T06:00:00Z,7.9436
2023-01-03T07:00:00Z,9.0255
2023-01-03T08:00:00Z,9.7681
2023-01-03T09:00:00Z,10.079
2023-01-03T10:00:00Z,9.6093
2023-01-03T11:00:00Z,9.1897
2023-01-03T12:00:00Z,8.1754
2023-01-03T13:00:00Z,8.5026
2023-01-03T14:00:00Z,8.1966
2023-01-03T15:00:00Z,8.0047
2023-01-03T16:00:00Z,8.5107
2023-01-03T17:00:00Z,8.9659
2023-01-03T18:00:00Z,10.1407
2023-01-03T19:00:00Z,10.6559
2023-01-03T20:00:00Z,10.4569
2023-01-03T21:00:00Z,8.5696
2023-01-03T22:00:00Z,7.9304
2023-01-03T23:00:00Z,7.9383
2023-01-04T00:00:00Z,8.0408
2023-01-04T01:00:00Z,8.1882
2023-01-04T02:00:00Z,7.6998
2023-01-04T03:00:00Z,6.323
2023-01-04T04:00:00Z,6.436
2023-01-04T05:00:00Z,7.2987
2023-01-04T06:00:00Z,8.0753
2023-01-04T07:00:00Z,9.0781
2023-01-04T08:00:00Z,9.4497
2023-01-04T09:00:00Z,9.7394
2023-01-04T10:00:00Z,9.5796
2023-01-04T11:00:00Z,9.0472
2023-01-04T12:00:00Z,8.4612
2023-01-04T13:00:00Z,8.1624
2023-01-04T14:00:00Z,7.8415
2023-01-04T15:00:00Z,8.2074
2023-01-04T16:00:00Z,8.4007
2023-01-04T17:00:00Z,9.3274
2023-01-04T18:00:00Z,10.1609
2023-01-04T19:00:00Z,10.2555
2023-01-04T20:00:00Z,9.6886
2023-01-04T21:00:00Z,8.7969
2023-01-04T22:00:00Z,8.4907
2023-01-04T23:00:00Z,8.1129
2023-01-05T00:00:00Z,7.8896
2023-01-05T01:00:00Z,7.9384
2023-01-05T02:00:00Z,7.4191
2023-01-05T03:00:00Z,7.1391
2023-01-05T04:00:00Z,6.3938
2023-01-05T05:00:00Z,7.4176
2023-01-05T06:00:00Z,8.1273
2023-01-05T07:00:00Z,9.0275
2023-01-05T08:00:00Z,9.188
2023-01-05T09:00:00Z,9.8505
2023-01-05T10:00:00Z,9.7458
2023-01-05T11:00:00Z,8.638
2023-01-05T12:00:00Z,8.3219
2023-01-05T13:00:00Z,8.1365
2023-01-05T14:00:00Z,7.6308
2023-01-05T15:00:00Z,8.1887
2023-01-05T16:00:00Z,8.618
2023-01-05T17:00:00Z,8.7307
2023-01-05T18:00:00Z,9.9064
2023-01-05T19:00:00Z,9.8063
2023-01-05T20:00:00Z,9.7896
2023-01-05T21:00:00Z,8.5038
2023-01-05T22:00:00Z,8.7001
2023-01-05T23:00:00Z,8.2123
2023-01-06T00:00:00Z,7.9854
2023-01-06T01:00:00Z,7.6928
2023-01-06T02:00:00Z,7.9872
2023-01-06T03:00:00Z,7.5198
2023-01-06T04:00:00Z,5.9705
2023-01-06T05:00:00Z,7.4211
2023-01-06T06:00:00Z,8.4945
2023-01-06T07:00:00Z,8.9509
2023-01-06T08:00:00Z,9.1566
2023-01-06T09:00:00Z,10.0586
2023-01-06T10:00:00Z,9.4694
2023-01-06T11:00:00Z,8.743
2023-01-06T12:00:00Z,8.0327
2023-01-06T13:00:00Z,8.2919
2023-01-06T14:00:00Z,8.2806
2023-01-06T15:00:00Z,7.9071
2023-01-06T16:00:00Z,8.5203
2023-01-06T17:00:00Z,8.6453
2023-01-06T18:00:00Z,10.0418
2023-01-06T19:00:00Z,10.214
2023-01-06T20:00:00Z,9.7452
2023-01-06T21:00:00Z,8.958
2023-01-06T22:00:00Z,8.6243
2023-01-06T23:00:00Z,8.3148
2023-01-07T00:00:00Z,7.3516
2023-01-07T01:00:00Z,7.1667
2023-01-07T02:00:00Z,6.8285
2023-01-07T03:00:00Z,6.3152
2023-01-07T04:00:00Z,5.7977
2023-01-07T05:00:00Z,6.455
2023-01-07T06:00:00Z,7.1132
2023-01-07T07:00:00Z,7.319
2023-01-07T08:00:00Z,9.0281
2023-01-07T09:00:00Z,9.6557
2023-01-07T10:00:00Z,8.8561
2023-01-07T11:00:00Z,8.0941
2023-01-07T12:00:00Z,7.5608
2023-01-07T13:00:00Z,7.291
2023-01-07T14:00:00Z,7.248
2023-01-07T15:00:00Z,6.9575
2023-01-07T16:00:00Z,7.409
2023-01-07T17:00:00Z,7.8895
2023-01-07T18:00:00Z,9.0758
2023-01-07T19:00:00Z,9.311
2023-01-07T20:00:00Z,9.1498
2023-01-07T21:00:00Z,8.1361
2023-01-07T22:00:00Z,7.8596
2023-01-07T23:00:00Z,7.3537
2023-01-08T00:00:00Z,7.85
2023-01-08T01:00:00Z,6.5565
2023-01-08T02:00:00Z,6.611
2023-01-08T03:00:00Z,6.4001
2023-01-08T04:00:00Z,6.4864
2023-01-08T05:00:00Z,6.1757
